Fiscal Year,Fund Class,Fund,Cost Center,Description,Type,Object Code,Description,Budget-Mayor's Recommended,Budget-Council Approved
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5439000,EMERGENCY MANAGEMENT PROGRAM  ,XP,2329,OTHER PROFESSIONAL & TECH SERV,8500,8500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5439000,EMERGENCY MANAGEMENT PROGRAM  ,XP,2330,Emergency Mgt Excercies Serv  ,4000,4000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5439000,EMERGENCY MANAGEMENT PROGRAM  ,XP,233606,Telephone - Cell Phones       ,3500,3500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5439000,EMERGENCY MANAGEMENT PROGRAM  ,XP,2522,MEMBERSHIPS                   ,1200,1200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5439000,EMERGENCY MANAGEMENT PROGRAM  ,XP,2524,MILEAGE                       ,500,500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5439000,EMERGENCY MANAGEMENT PROGRAM  ,XP,2529,OTHER EMPLOYEE COSTS          ,2000,2000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,211101,EXECUTIVE ANNUAL BASE PAY     ,244890,244890
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,211102,EXECUTIVE LONGEVITY PAY       ,4800,4800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,2113,EXECUTIVE - OVERTIME PAY      ,2000,2000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,219110,EMPLOYEE BENEFITS-FICA        ,19098,19098
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,219115,EMPL BENEFITS-STATE RET.NON.CT,43176,43176
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,219118,Emp.Benefits 501C9 OPEB       ,2532,2532
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,2195,EMPLOYEE INSURANCE            ,42072,42072
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,219501,HSA - City Contribution       ,1500,1500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,2246,COMMUNICATION EQUIP & SUPPLIES,54000,54000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,224601,Comm. Equip  - Cell Phones    ,5000,5000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,2295,SAFETY EQUIPMENT              ,500,500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,233601,TELEPHONE MONTHLY BASE        ,67000,67000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,233602,TELEPHONE-LONG DISTANCE       ,34800,34800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,233603,TELEPHONE-CHANGE ORDERS       ,2000,2000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,233606,Telephone - Cell Phones       ,19200,19200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,2342,COMMUNICATION EQUIPMENT MC'S  ,68900,68900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,2522,MEMBERSHIPS                   ,1200,1200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5441000,AIRPORT TELECOMMUNCATIONS     ,XP,252202,Professional Licensing fees   ,400,400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,211101,EXECUTIVE ANNUAL BASE PAY     ,953154,953154
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,211102,EXECUTIVE LONGEVITY PAY       ,6825,6825
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2113,EXECUTIVE - OVERTIME PAY      ,200,200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2161,HOURLY PAY-SEASONAL EMPLOYEES ,33192,33192
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,219110,EMPLOYEE BENEFITS-FICA        ,72706,72706
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,219114,DEFERRED BENEFIT 401K         ,1260,1260
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,219115,EMPL BENEFITS-STATE RET.NON.CT,165183,165183
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,219118,Emp.Benefits 501C9 OPEB       ,8532,8532
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2195,EMPLOYEE INSURANCE            ,137394,137394
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,219501,HSA - City Contribution       ,13500,13500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,221201,Books                         ,400,400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2213,PERIODICALS                   ,900,900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2221,STATIONERY SUPPLIES           ,2000,2000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2269,OTHER CONSTRUCTION M & S      ,100000,100000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2296,LICENSE & TAGS / CERTIFICATES ,100,100
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,229899,TOOLS/EQUIP-CONTROLLED F.A.   ,200,200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2299,OTHER MATERIAL & SUPPLIES     ,1000,1000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,229996,Office Furniture Non Capital  ,2500,2500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2329,OTHER PROFESSIONAL & TECH SERV,50000,50000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,233606,Telephone - Cell Phones       ,5500,5500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2341,OFFICE EQUIPMENT MC'S         ,1800,1800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,234801,Airport Intntl Ctr Maint Cont ,15000,15000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2371,PRINTING-PUBLIC NOTICES       ,1000,1000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2399,OTHER CONTRACTUAL PAYMENTS    ,74200,74200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2520,MEALS & ENTERTAINMENT         ,1500,1500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2522,MEMBERSHIPS                   ,2600,2600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,252202,Professional Licensing fees   ,500,500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2524,MILEAGE                       ,500,500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2525,OUT OF TOWN TRAVEL            ,33500,33500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2529,OTHER EMPLOYEE COSTS          ,300,300
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,2543,INSURANCE / SURETY BONDS      ,320000,320000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,255201,Property Owner Dues           ,40000,40000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5442000,Administration & Comm Services,XP,256702,Privilege Taxes               ,11000,11000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5444000,Legal Services                ,XP,2211,Books                         ,6000,6000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5444000,Legal Services                ,XP,2213,PERIODICALS                   ,2000,2000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5444000,Legal Services                ,XP,222310,COPY CENTER CHARGES           ,300,300
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5444000,Legal Services                ,XP,2312,LEGAL FEES                    ,140000,140000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5444000,Legal Services                ,XP,233606,Telephone - Cell Phones       ,900,900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5444000,Legal Services                ,XP,2371,PRINTING-PUBLIC NOTICES       ,300,300
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5444000,Legal Services                ,XP,2520,MEALS & ENTERTAINMENT         ,200,200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5444000,Legal Services                ,XP,2522,MEMBERSHIPS                   ,1200,1200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5444000,Legal Services                ,XP,2525,OUT OF TOWN TRAVEL            ,5000,5000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5444000,Legal Services                ,XP,2529,OTHER EMPLOYEE COSTS          ,200,200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5444000,Legal Services                ,XP,2590,OTHER EXPENSES                ,600,600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,211101,EXECUTIVE ANNUAL BASE PAY     ,859524,859524
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,211102,EXECUTIVE LONGEVITY PAY       ,6475,6475
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,211109,EXECUTIVE - OTHER PAY         ,3744,3744
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2113,EXECUTIVE - OVERTIME PAY      ,78400,78400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,219110,EMPLOYEE BENEFITS-FICA        ,66534,66534
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,219113,EMPL BENEFITS-STATE RETIREMENT,12162,12162
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,219114,DEFERRED BENEFIT 401K         ,1632,1632
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,219115,EMPL BENEFITS-STATE RET.NON.CT,139470,139470
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,219118,Emp.Benefits 501C9 OPEB       ,9480,9480
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2195,EMPLOYEE INSURANCE            ,178368,178368
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,219501,HSA - City Contribution       ,7500,7500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2211,Books                         ,600,600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2213,PERIODICALS                   ,300,300
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2223,DUPLICATION SUPPLIES          ,600,600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2272,PLUMBING SUPPLIES             ,96000,96000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2275,LAUNDRY & LINEN SUPPLIES      ,11200,11200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,228702,BOILER PLANT SUPPLIES         ,273200,273200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,228704,Mechanical Loading Bridge Supp,340800,340800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,228705,Mechanical EDS Supplies       ,222600,222600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2292,CHEMICALS                     ,12200,12200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2295,SAFETY EQUIPMENT              ,1200,1200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2296,LICENSE & TAGS / CERTIFICATES ,4000,4000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2298,SMALL TOOLS & EQUIPMENT       ,9900,9900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,229899,TOOLS/EQUIP-CONTROLLED F.A.   ,800,800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2299,OTHER MATERIAL & SUPPLIES     ,1200,1200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,232901,Airport EDS Contract Services ,1773000,1773000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,232902,Airport PLB Contract Services ,808600,808600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,233203,HEATING OIL                   ,4000,4000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2341,OFFICE EQUIPMENT MC'S         ,700,700
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2347,BUILDING MAINTENANCE CONTRACTS,420400,420400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2521,EMP. MEAL ALLOWANCE           ,3600,3600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,2522,MEMBERSHIPS                   ,800,800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5445000,Facilities / Airline Services ,XP,275090,OTHER MOTIVE EQUIPMENT-REPLACE,150000,150000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5446000,Ops Gen Av Budget             ,XP,222310,COPY CENTER CHARGES           ,700,700
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5446000,Ops Gen Av Budget             ,XP,223109,OTHER FUEL                    ,30000,30000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5446000,Ops Gen Av Budget             ,XP,2298,SMALL TOOLS & EQUIPMENT       ,1500,1500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5446000,Ops Gen Av Budget             ,XP,233606,Telephone - Cell Phones       ,1200,1200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5446000,Ops Gen Av Budget             ,XP,2349,OTHER MC'S                    ,900,900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5446000,Ops Gen Av Budget             ,XP,2520,MEALS & ENTERTAINMENT         ,3000,3000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5446000,Ops Gen Av Budget             ,XP,2522,MEMBERSHIPS                   ,400,400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,211101,EXECUTIVE ANNUAL BASE PAY     ,202308,202308
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,211102,EXECUTIVE LONGEVITY PAY       ,4025,4025
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,211109,EXECUTIVE - OTHER PAY         ,3324,3324
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2113,EXECUTIVE - OVERTIME PAY      ,100,100
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,214101,OP/MAINT ANNUAL BASE PAY      ,126024,126024
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,214102,OP/MAINT LONGEVITY PAY        ,2400,2400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2143,OP/MAINT OVERTIME PAY         ,900,900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,219110,EMPLOYEE BENEFITS-FICA        ,25864,25864
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,219115,EMPL BENEFITS-STATE RET.NON.CT,58459,58459
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,219118,Emp.Benefits 501C9 OPEB       ,4392,4392
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2195,EMPLOYEE INSURANCE            ,40776,40776
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,219501,HSA - City Contribution       ,3000,3000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2221,STATIONERY SUPPLIES           ,500,500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,222599,COMPUTER SUPP-CONTROLLED F.A. ,4000,4000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2227,AIRPORT/OPERATIONS SUPPLIES   ,800,800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,224601,Comm. Equip  - Cell Phones    ,500,500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2275,LAUNDRY & LINEN SUPPLIES      ,1500,1500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2295,SAFETY EQUIPMENT              ,300,300
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2298,SMALL TOOLS & EQUIPMENT       ,17000,17000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2299,OTHER MATERIAL & SUPPLIES     ,500,500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,229996,Office Furniture Non Capital  ,2000,2000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2301,Fingerprint Fees              ,18000,18000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2302,Threat Assessment Fees        ,3000,3000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2329,OTHER PROFESSIONAL & TECH SERV,17400,17400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2331,ELECTRICAL POWER              ,6000,6000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,233201,NATURAL GAS                   ,3600,3600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2333,WATER                         ,2400,2400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,233601,TELEPHONE MONTHLY BASE        ,4200,4200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,233606,Telephone - Cell Phones       ,4500,4500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2341,OFFICE EQUIPMENT MC'S         ,800,800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2347,BUILDING MAINTENANCE CONTRACTS,1000,1000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2370,PRINTING CHARGES              ,1000,1000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2399,OTHER CONTRACTUAL PAYMENTS    ,800,800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2512,BUILDING RENTALS              ,95900,95900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2513,EQUIPMENT RENTAL              ,24000,24000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2520,MEALS & ENTERTAINMENT         ,700,700
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2521,EMP. MEAL ALLOWANCE           ,100,100
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2522,MEMBERSHIPS                   ,600,600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2524,MILEAGE                       ,600,600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447000,Ground Transportation         ,XP,2529,OTHER EMPLOYEE COSTS          ,300,300
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447904,Airport Ground Transp Admin   ,RV,1795,GTrans New Badge Revenue      ,84600,84600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5447904,Airport Ground Transp Admin   ,RV,1796,GTrans Renewal Badge Revenue  ,37900,37900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,2173,Annual Cash Conversion        ,81000,81000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,219198,Other Post Emp.Benefits budget,1200000,1200000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,219701,WORKER'S COMPENSATION PAY     ,32536,32536
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,2318,PUBLIC RELATIONS              ,11200,11200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,2329,OTHER PROFESSIONAL & TECH SERV,60000,60000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,2399,OTHER CONTRACTUAL PAYMENTS    ,50400,50400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,252201,MEMBERSHIP ASSESSMENTS        ,155100,155100
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,2529,OTHER EMPLOYEE COSTS          ,50000,50000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,2549,RISK MANAGEMENT PREMIUM       ,1527000,1527000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,254902,UNEMPLOYMENT COMP. PREMIUM    ,30000,30000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,254914,WORKER'S COMP. MEDICAL        ,180000,180000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,254915,WORKER COMP. AWARDS           ,75000,75000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,2552,WATER STOCK ASSESSMENTS       ,18600,18600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,2559,CONTINGENCIES                 ,100000,100000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,256001,Airline Pass Incentive Rebates,9848200,9848200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,291009,TRANSFER TO INFO MGMT SERV FD ,80000,80000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5453000,Finance-Airport Departmental  ,XP,292101,ADMINISTRATIVE SERVICE FEE    ,1225000,1225000
2014,AIRPORT FUND                  ,REVENUE FUND                  ,5456000,REVENUE FUND                  ,RV,1830,INTEREST                      ,1880000,1880000
2014,Airport New Dev. Program Ph1  ,Airport New Dev Program Phase1,5511100,NDP Construction Airfield PFC ,XP,277610,WIP ARCHITECTS & ENGINEERS    ,57639700,57639700
2014,Airport New Dev. Program Ph1  ,Airport New Dev Program Phase1,5511300,NDP Airfield Construction     ,XP,277610,WIP ARCHITECTS & ENGINEERS    ,13490100,13490100
2014,Airport New Dev. Program Ph1  ,Airport New Dev Program Phase1,5511500,NDP Airfield Const. CFC       ,XP,277610,WIP ARCHITECTS & ENGINEERS    ,55802000,55802000
2014,Airport Terminal Redevelopment,Airport Terminal Redevelopment,5610103,PFC 12                        ,XP,277310,WIP IMP OTHER THAN BUILDINGS  ,2530500,2530500
2014,Airport Terminal Redevelopment,Airport Terminal Redevelopment,5610103,PFC 12                        ,XP,277610,WIP ARCHITECTS & ENGINEERS    ,170000,170000
2014,Airport Terminal Redevelopment,Airport Terminal Redevelopment,5610301,AIR CIP Construction Air Funds,XP,277310,WIP IMP OTHER THAN BUILDINGS  ,723500,723500
2014,Airport Terminal Redevelopment,Airport Terminal Redevelopment,5610301,AIR CIP Construction Air Funds,XP,277610,WIP ARCHITECTS & ENGINEERS    ,67000,67000
2014,Airport Terminal Redevelopment,Airport Terminal Redevelopment,5610501,AIR CIP Const. Cap Imp CFC    ,XP,277310,WIP IMP OTHER THAN BUILDINGS  ,4500000,4500000
2014,Airport Terminal Redevelopment,Airport Terminal Redevelopment,5610501,AIR CIP Const. Cap Imp CFC    ,XP,277610,WIP ARCHITECTS & ENGINEERS    ,432000,432000
2014,Airport Terminal Redevelopment,Airport Terminal Redevelopment,5611301,AIR CIP Const Airfield Air Fun,XP,277310,WIP IMP OTHER THAN BUILDINGS  ,750000,750000
2014,Airport Terminal Redevelopment,Airport Terminal Redevelopment,5611301,AIR CIP Const Airfield Air Fun,XP,277610,WIP ARCHITECTS & ENGINEERS    ,943000,943000
2014,CAPITAL PROJECTS FUND         ,APARC                         ,8314012,APARC                         ,RV,197401,TRANSFER FROM GENERAL FUND    ,665780,665780
